modulation,snr_db_in,method,snr_db_out_vs_postisi_ref_mean,snr_db_out_vs_postisi_ref_std,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,runtime_sec_mean,n_trials
BPSK,-10,No Processing,-9.993,0.013,0.334616,0.0014479309375795505,334616,1000000,,0.0,10
BPSK,-5,No Processing,-4.985,0.016,0.221504,0.0010757713511708711,221504,1000000,,0.0,10
BPSK,0,No Processing,0.009,0.011,0.08826700000000001,0.0009910201814292187,88267,1000000,,0.0,10
BPSK,5,No Processing,5.009,0.015,0.008327,0.0001999024762227822,8327,1000000,,0.0,10
BPSK,10,No Processing,10.007,0.012,1.5000000000000002e-05,1.688194301613413e-05,15,1000000,,0.0,10
BPSK,15,No Processing,15.014,0.009,0.0,0.0,0,1000000,3e-06,0.0,10
BPSK,20,No Processing,20.017,0.013,0.0,0.0,0,1000000,3e-06,0.0,10
BPSK,-10,LMS,0.21,0.01,0.357225,0.005822683659619506,357225,1000000,,3.2184,10
BPSK,-5,LMS,0.682,0.031,0.255343,0.004917092738600728,255343,1000000,,3.3412,10
BPSK,0,LMS,1.681,0.052,0.12099399999999998,0.008599945581223171,120994,1000000,,3.4542,10
BPSK,5,LMS,3.248,0.057,0.023346000000000002,0.0024673394577965956,23346,1000000,,3.4187,10
BPSK,10,LMS,5.039,0.086,0.00024000000000000003,7.8993670632526e-05,240,1000000,,3.6864,10
BPSK,15,LMS,6.772,0.064,7.000000000000001e-06,4.58257569495584e-06,7,1000000,,3.6031,10
BPSK,20,LMS,7.891,0.06,7.000000000000001e-06,4.58257569495584e-06,7,1000000,,3.3786,10
BPSK,-10,NLMS,0.208,0.012,0.35968999999999995,0.006880327027111431,359690,1000000,,5.3439,10
BPSK,-5,NLMS,0.682,0.034,0.25617999999999996,0.00573232413598533,256180,1000000,,4.7291,10
BPSK,0,NLMS,1.679,0.051,0.12123399999999998,0.008604870946156019,121234,1000000,,5.1153,10
BPSK,5,NLMS,3.176,0.061,0.024157,0.002622079518245013,24157,1000000,,5.2397,10
